"Alias","Run","Habitat","Individual","Dataset","Acc.no","total.input.read..pairs.","Rejected.1st.read.pair","Rejected.2nd.read.pair","Accepted.1st.read.pair","Accepted.2nd.read.pair","Singleton.1st.read.pair","Singleton.2nd.read.pair","Avg.read.length","AvgQual.read.quality..if.quality.information.available.","average.accumulated.Error","Latitude","Longitude","Date.when.the.sample.was.collected."
"S165","ERR1877650","Tropical_montane_forests","-","Global_soil","ENA_ERP020652",782134,121748,259035,660386,523099,170287,33000,237,35.7,0.791,"22.20","-102.60","5/1/2012"
"S238","ERR1877652","Boreal_forests","-","Global_soil","ENA_ERP020652",1076317,170539,369103,905778,707214,238849,40285,238,35.9,0.782,"68.97","20.94","8/6/2013"
"S032","ERR1877653","Temperate_deciduous_forests","-","Global_soil","ENA_ERP020652",1199145,47266,184287,1151879,1014858,143587,6566,239,35.6,0.864,"43.10","131.56","5/21/2010"
"AV120","ERR1877654","Moist_tropical_forests","-","Global_soil","ENA_ERP020652",1349957,294523,518540,1055434,831417,270449,46432,234,35.6,0.669,"-4.00","-69.89","4/1/2012"
"AV120","ERR1877655","Moist_tropical_forests","-","Global_soil","ENA_ERP020652",1349957,294523,518540,1055434,831417,270449,46432,234,35.6,0.669,"-4.00","-69.89","4/1/2012"
"S049","ERR1877656","Moist_tropical_forests","-","Global_soil","ENA_ERP020652",1015637,25707,132994,989930,882643,113149,5862,240,35.7,0.888,"18.32","-65.82","3/9/2011"
"S190","ERR1877657","Savannas","-","Global_soil","ENA_ERP020652",629797,96681,305191,533116,324606,221035,12525,237,35.7,0.796,"-11.48","27.66","12/9/2012"
"G2645","ERR1877658","Mediterrean","-","Global_soil","ENA_ERP020652",411966,150824,238444,261142,173522,95477,7857,232,35.3,0.705,"-35.00","116.65","11/2/2011"
"G3308","ERR1877659","Temperate_deciduous_forests","-","Global_soil","ENA_ERP020652",959782,128745,388726,831037,571056,281669,21688,240,36.1,0.777,"58.30","21.94","7/4/2013"
"AV105","ERR1877660","Moist_tropical_forests","-","Global_soil","ENA_ERP020652",2566638,365575,728592,2201063,1838046,460185,97168,238,36,0.671,"-3.60","-69.53","4/1/2012"
"AV105","ERR1877661","Moist_tropical_forests","-","Global_soil","ENA_ERP020652",2566638,365575,728592,2201063,1838046,460185,97168,238,36,0.671,"-3.60","-69.53","4/1/2012"
"S249","ERR1877662","Temperate_coniferous_forests","-","Global_soil","ENA_ERP020652",1140809,179714,381205,961095,759604,246468,44977,239,35.9,0.786,"57.88","27.69","9/29/2013"
